full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
feiskyer/claude-code-settings,1395,1395,208,3,3,1,https://github.com/feiskyer/claude-code-settings
carlvellotti/claude-code-pm-course,1714,1714,265,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,990,990,227,1,1,0,https://github.com/sugyan/claude-code-webui
Alishahryar1/free-claude-code,1336,1336,189,28,28,14,https://github.com/Alishahryar1/free-claude-code
chauncygu/collection-claude-code-source-code,405,405,632,405,405,632,https://github.com/chauncygu/collection-claude-code-source-code
alirezarezvani/claude-skills,8518,8518,1028,54,54,14,https://github.com/alirezarezvani/claude-skills
centminmod/my-claude-code-setup,2141,2141,213,3,3,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1509,1509,239,1,1,-1,https://github.com/lst97/claude-code-sub-agents
liuup/claude-code-analysis,352,352,311,352,352,311,https://github.com/liuup/claude-code-analysis
Yeachan-Heo/oh-my-claudecode,20258,20258,1617,549,549,83,https://github.com/Yeachan-Heo/oh-my-claudecode
AprilNEA/claude-code-source,219,219,391,28,28,57,https://github.com/AprilNEA/claude-code-source
darcyegb/ClaudeCodeAgents,637,637,56,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
slopus/happy,16900,16900,1351,60,60,11,https://github.com/slopus/happy
guanshan/ClaudeCode,34,34,165,34,34,165,https://github.com/guanshan/ClaudeCode
rohitg00/awesome-claude-code-toolkit,989,989,259,4,4,3,https://github.com/rohitg00/awesome-claude-code-toolkit
mehmoodosman/claude-code,84,84,153,84,84,153,https://github.com/mehmoodosman/claude-code
farion1231/cc-switch,36873,36873,2209,259,259,16,https://github.com/farion1231/cc-switch
fazxes/Claude-code,137,137,131,10,10,11,https://github.com/fazxes/Claude-code
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2667,2667,467,43,43,10,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
Hyper66666/claude-code-sourcemap,165,165,408,11,11,27,https://github.com/Hyper66666/claude-code-sourcemap
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
catlog22/Claude-Code-Workflow,1655,1655,139,6,6,1,https://github.com/catlog22/Claude-Code-Workflow
simonw/claude-code-transcripts,1373,1373,144,2,2,0,https://github.com/simonw/claude-code-transcripts
trailofbits/claude-code-config,1738,1738,132,8,8,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1213,1213,150,1,1,0,https://github.com/steipete/claude-code-mcp
jeremylongshore/claude-code-plugins-plus-skills,1800,1800,242,5,5,2,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
Njengah/claude-code-cheat-sheet,1509,1509,192,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
rizethereum/claude-code-requirements-builder,1760,1760,174,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
Windy3f3f3f3f/how-claude-code-works,663,663,266,663,663,266,https://github.com/Windy3f3f3f3f/how-claude-code-works
